,movie,year,imdb,metascore,votes,gross (usd),n_imdb
344,Murder on the Orient Express,2017,6.5,52,176480,102826543,65.0
345,The Croods,2013,7.2,55,175899,187168425,72.0
346,The Raid: Redemption,2011,7.6,73,175013,4105123,76.0
347,Ghost in the Shell,2017,6.4,52,174603,40533014,64.0
348,Lady Bird,2017,7.4,94,174571,48958273,74.0
349,Hell or High Water,2016,7.6,88,174538,26862450,76.0
350,Ice Age: Continental Drift,2012,6.6,49,174310,161321843,66.0
351,Tinker Tailor Soldier Spy,2011,7.1,85,174245,24149393,71.0
352,The Vow,2012,6.8,43,172786,125014030,68.0
353,Unstoppable,2010,6.8,69,172256,81562942,68.0
354,Chef,2014,7.3,68,172124,30640336,73.0
355,Wrath of the Titans,2012,5.7,37,171538,83670083,57.0
356,Me Before You,2016,7.4,51,171100,56245075,74.0
357,Shame,2011,7.2,72,170696,4000304,72.0
358,The Babadook,2014,6.8,86,169725,924279,68.0
359,Blue Valentine,2010,7.4,81,169345,9737892,74.0
360,Knight and Day,2010,6.3,46,169304,76423035,63.0
361,Hidden Figures,2016,7.8,74,169295,169607287,78.0
362,Side Effects,2013,7.1,75,167943,32172757,71.0
363,The Magnificent Seven,2016,6.9,54,167363,93432655,69.0
364,King Arthur: Legend of the Sword,2017,6.8,41,167083,39175066,68.0
365,The Next Three Days,2010,7.4,52,166928,21148651,74.0
366,This Means War,2012,6.3,31,166889,54760791,63.0
367,Love & Other Drugs,2010,6.7,55,166807,32367005,67.0
368,Battle Los Angeles,2011,5.8,37,166652,83552429,58.0
369,Wind River,2017,7.7,73,166456,33800859,77.0
370,Shrek Forever After,2010,6.3,58,166245,238371987,63.0
371,Jupiter Ascending,2015,5.3,40,165617,47387723,53.0
372,Assassin's Creed,2016,5.8,36,165586,54647948,58.0
373,G.I. Joe: Retaliation,2013,5.8,41,165072,122523060,58.0
374,The Woman in Black,2012,6.4,62,164824,54333290,64.0
375,Straight Outta Compton,2015,7.9,72,164414,161197785,79.0
376,Ted 2,2015,6.3,48,164376,81476385,63.0
377,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,164366,88761720,59.0
378,Taken 3,2014,6.0,26,164052,89256424,60.0
379,Dracula Untold,2014,6.3,40,164002,56280355,63.0
380,The Judge,2014,7.4,48,161797,47119388,74.0
381,Get Him to the Greek,2010,6.4,65,161215,60974475,64.0
382,Tomorrowland,2015,6.4,60,160710,93436322,64.0
383,Tomb Raider,2018,6.3,48,160243,57421715,63.0
384,A Million Ways to Die in the West,2014,6.1,44,159797,43139300,61.0
385,The Secret Life of Pets,2016,6.5,61,159776,368384330,65.0
386,The Hitman's Bodyguard,2017,6.9,47,159593,75468583,69.0
387,Game Night,2018,7.0,66,158950,69001013,70.0
388,Sausage Party,2016,6.2,66,157912,97661826,62.0
389,Mama,2013,6.2,57,157804,71628180,62.0
390,Captain Fantastic,2016,7.9,72,157565,5875006,79.0
391,Fantastic Beasts: The Crimes of Grindelwald,2018,6.7,52,156275,159555901,67.0
392,Mud,2012,7.4,76,156255,21590086,74.0
393,The Tree of Life,2011,6.8,85,155667,13303319,68.0
394,The Expendables 3,2014,6.1,35,155410,39322544,61.0
395,Anchorman 2: The Legend Continues,2013,6.3,61,155289,127352707,63.0
396,Black Mass,2015,6.9,68,155141,62575678,69.0
397,The Change-Up,2011,6.3,39,154687,37081475,63.0
398,Independence Day: Resurgence,2016,5.2,32,154385,103144286,52.0
399,Need for Speed,2014,6.5,39,154282,43577636,65.0
400,Mother!,2017,6.6,75,153777,17800004,66.0
